2023-03-14 14:02:53 install gcc-13-base:amd64 <none> 13-20230305-1ubuntu1
2023-03-14 14:02:53 status half-installed gcc-13-base:amd64 13-20230305-1ubuntu1
2023-03-14 14:02:53 status unpacked gcc-13-base:amd64 13-20230305-1ubuntu1
2023-03-14 14:02:53 install grep:amd64 <none> 3.8-5
2023-03-14 14:02:53 status half-installed grep:amd64 3.8-5
2023-03-14 14:02:53 status unpacked grep:amd64 3.8-5
2023-03-14 14:02:53 install gzip:amd64 <none> 1.12-1ubuntu1
2023-03-14 14:02:53 status half-installed gzip:amd64 1.12-1ubuntu1
2023-03-14 14:02:53 status unpacked gzip:amd64 1.12-1ubuntu1
2023-03-14 14:02:53 install hostname:amd64 <none> 3.23+nmu1ubuntu1
2023-03-14 14:02:53 status half-installed hostname:amd64 3.23+nmu1ubuntu1
2023-03-14 14:02:53 status unpacked hostname:amd64 3.23+nmu1ubuntu1
2023-03-14 14:02:53 install init-system-helpers:all <none> 1.65.2
2023-03-14 14:02:53 status half-installed init-system-helpers:all 1.65.2
2023-03-14 14:02:53 status unpacked init-system-helpers:all 1.65.2
2023-03-14 14:02:53 install libacl1:amd64 <none> 2.3.1-3
2023-03-14 14:02:53 status half-installed libacl1:amd64 2.3.1-3
2023-03-14 14:02:53 status unpacked libacl1:amd64 2.3.1-3
2023-03-14 14:02:53 install libattr1:amd64 <none> 1:2.5.1-4
2023-03-14 14:02:53 status half-installed libattr1:amd64 1:2.5.1-4
2023-03-14 14:02:53 status unpacked libattr1:amd64 1:2.5.1-4
2023-03-14 14:02:53 install libaudit-common:all <none> 1:3.0.9-1
2023-03-14 14:02:53 status half-installed libaudit-common:all 1:3.0.9-1
2023-03-14 14:02:53 status unpacked libaudit-common:all 1:3.0.9-1
2023-03-14 14:02:53 install libaudit1:amd64 <none> 1:3.0.9-1
2023-03-14 14:02:53 status half-installed libaudit1:amd64 1:3.0.9-1
2023-03-14 14:02:53 status unpacked libaudit1:amd64 1:3.0.9-1
2023-03-14 14:02:53 install libblkid1:amd64 <none> 2.38.1-4ubuntu1
